dataset,date,portfolio_value
1,2007-01-31,100058.49
1,2007-02-28,99529.24
1,2007-03-31,103753.51
1,2007-04-30,108805.88
1,2007-05-31,121399.63
1,2007-06-30,120168.98
1,2007-07-31,121175.35
1,2007-08-31,121851.33
1,2007-09-30,130549.98
1,2007-10-31,140453.81
1,2007-11-30,135454.42
1,2007-12-31,142298.30
1,2008-01-31,121118.02
1,2008-02-29,122645.35
1,2008-03-31,123618.71
1,2008-04-30,134116.53
1,2008-05-31,139311.34
1,2008-06-30,132050.06
1,2008-07-31,126563.15
1,2008-08-31,127624.53
1,2008-09-30,109802.13
1,2008-10-31,92326.79
1,2008-11-30,92358.71
1,2008-12-31,94792.32
1,2009-01-31,89384.13
1,2009-02-28,81511.96
1,2009-03-31,88495.11
1,2009-04-30,95483.14
1,2009-05-31,101893.66
1,2009-06-30,100979.43
1,2009-07-31,107187.46
1,2009-08-31,108272.12
1,2009-09-30,113619.00
1,2009-10-31,115813.83
1,2009-11-30,123285.05
1,2009-12-31,121127.43
1,2010-01-31,115668.79
1,2010-02-28,119190.11
1,2010-03-31,129385.89
1,2010-04-30,136597.64
1,2010-05-31,130015.78
1,2010-06-30,127212.60
1,2010-07-31,135075.93
1,2010-08-31,131815.51
1,2010-09-30,143157.99
1,2010-10-31,151600.47
1,2010-11-30,155615.75
1,2010-12-31,161927.75
1,2011-01-31,165926.84
1,2011-02-28,169936.79
1,2011-03-31,172057.04
1,2011-04-30,176880.73
1,2011-05-31,174881.46
1,2011-06-30,172459.70
1,2011-07-31,176588.31
1,2011-08-31,172392.03
1,2011-09-30,163817.89
1,2011-10-31,179614.10
1,2011-11-30,178363.12
1,2011-12-31,181584.48
1,2012-01-31,196898.19
1,2012-02-29,208737.55
1,2012-03-31,214360.90
1,2012-04-30,208184.28
1,2012-05-31,195785.83
1,2012-06-30,194312.87
1,2012-07-31,196711.74
1,2012-08-31,201899.92
1,2012-09-30,207471.52
1,2012-10-31,200761.83
1,2012-11-30,199637.59
1,2012-12-31,200853.44
1,2013-01-31,202063.34
1,2013-02-28,200077.68
1,2013-03-31,206481.98
1,2013-04-30,207689.65
1,2013-05-31,213131.24
1,2013-06-30,205264.38
1,2013-07-31,217321.32
1,2013-08-31,213033.40
1,2013-09-30,215543.65
1,2013-10-31,223467.01
1,2013-11-30,228199.83
1,2013-12-31,226930.98
1,2014-01-31,216640.54
1,2014-02-28,226869.88
1,2014-03-31,231256.31
1,2014-04-30,241603.63
1,2014-05-31,246216.67
1,2014-06-30,253269.88
1,2014-07-31,251412.08
1,2014-08-31,264185.58
1,2014-09-30,248838.23
1,2014-10-31,250608.09
1,2014-11-30,259653.31
1,2014-12-31,251523.14
1,2015-01-31,247463.18
1,2015-02-28,270127.65
1,2015-03-31,265976.92
1,2015-04-30,272902.32
1,2015-05-31,274705.93
1,2015-06-30,270750.40
1,2015-07-31,274261.67
1,2015-08-31,251417.27
1,2015-09-30,243975.77
1,2015-10-31,265332.77
1,2015-11-30,263173.68
1,2015-12-31,250352.13
1,2016-01-31,236437.05
1,2016-02-29,234600.82
1,2016-03-31,248461.66
1,2016-04-30,248310.87
1,2016-05-31,253176.95
1,2016-06-30,252046.49
1,2016-07-31,260103.97
1,2016-08-31,256481.20
1,2016-09-30,254585.91
1,2016-10-31,249486.30
1,2016-11-30,257488.87
1,2016-12-31,268023.19
2,1997-01-31,105381.83
2,1997-02-28,103899.47
2,1997-03-31,99542.33
2,1997-04-30,104737.10
2,1997-05-31,112880.69
2,1997-06-30,117790.06
2,1997-07-31,130571.58
2,1997-08-31,124446.69
2,1997-09-30,131628.80
2,1997-10-31,123077.87
2,1997-11-30,128493.71
2,1997-12-31,129071.33
2,1998-01-31,131732.92
2,1998-02-28,142910.96
2,1998-03-31,148998.00
2,1998-04-30,151606.03
2,1998-05-31,146924.58
2,1998-06-30,153616.02
2,1998-07-31,151111.71
2,1998-08-31,125622.84
2,1998-09-30,133925.30
2,1998-10-31,145783.09
2,1998-11-30,157219.68
2,1998-12-31,170547.92
2,1999-01-31,181327.60
2,1999-02-28,171276.05
2,1999-03-31,181692.45
2,1999-04-30,184960.33
2,1999-05-31,181446.00
2,1999-06-30,195874.17
2,1999-07-31,190621.50
2,1999-08-31,194463.33
2,1999-09-30,192855.85
2,1999-10-31,207414.75
2,1999-11-30,217448.15
2,1999-12-31,244241.04
2,2000-01-31,232178.51
2,2000-02-29,246531.03
2,2000-03-31,263632.02
2,2000-04-30,247328.71
2,2000-05-31,232412.21
2,2000-06-30,248831.23
2,2000-07-31,242934.28
2,2000-08-31,264840.73
2,2000-09-30,239090.59
2,2000-10-31,230185.19
2,2000-11-30,205619.75
2,2000-12-31,218051.06
2,2001-01-31,224969.00
2,2001-02-28,208753.57
2,2001-03-31,203592.75
2,2001-04-30,222293.67
2,2001-05-31,214448.73
2,2001-06-30,200545.44
2,2001-07-31,189712.57
2,2001-08-31,183545.73
2,2001-09-30,162277.20
2,2001-10-31,178029.77
2,2001-11-30,184807.88
2,2001-12-31,189340.13
2,2002-01-31,185484.31
2,2002-02-28,181048.22
2,2002-03-31,192631.83
2,2002-04-30,182561.35
2,2002-05-31,183412.36
2,2002-06-30,168449.35
2,2002-07-31,147274.07
2,2002-08-31,152345.26
2,2002-09-30,138765.08
2,2002-10-31,148331.39
2,2002-11-30,156894.56
2,2002-12-31,153148.93
2,2003-01-31,144447.67
2,2003-02-28,146513.98
2,2003-03-31,143101.89
2,2003-04-30,154013.06
2,2003-05-31,172314.14
2,2003-06-30,176396.05
2,2003-07-31,171624.26
2,2003-08-31,179452.62
2,2003-09-30,178397.12
2,2003-10-31,192638.03
2,2003-11-30,201213.32
2,2003-12-31,217374.70
2,2004-01-31,212180.62
2,2004-02-29,219334.18
2,2004-03-31,222152.38
2,2004-04-30,216723.94
2,2004-05-31,218004.50
2,2004-06-30,230254.58
2,2004-07-31,224660.71
2,2004-08-31,224588.28
2,2004-09-30,235152.33
2,2004-10-31,236646.42
2,2004-11-30,265337.08
2,2004-12-31,269710.68
2,2005-01-31,271613.63
2,2005-02-28,288996.82
2,2005-03-31,282416.89
2,2005-04-30,268811.12
2,2005-05-31,283663.93
2,2005-06-30,291562.70
2,2005-07-31,317013.22
2,2005-08-31,326168.10
2,2005-09-30,344238.99
2,2005-10-31,325115.02
2,2005-11-30,333620.22
2,2005-12-31,341044.65
2,2006-01-31,372827.80
2,2006-02-28,354165.62
2,2006-03-31,367976.66
2,2006-04-30,396463.23
2,2006-05-31,378596.23
2,2006-06-30,373621.91
2,2006-07-31,363396.17
2,2006-08-31,359946.17
2,2006-09-30,337904.14
2,2006-10-31,363863.13
2,2006-11-30,386016.24
2,2006-12-31,375750.44
3,2005-01-31,92062.11
3,2005-02-28,95861.04
3,2005-03-31,92720.00
3,2005-04-30,96014.49
3,2005-05-31,102712.44
3,2005-06-30,104348.88
3,2005-07-31,111001.75
3,2005-08-31,107794.74
3,2005-09-30,109122.99
3,2005-10-31,105252.56
3,2005-11-30,109609.76
3,2005-12-31,110476.16
3,2006-01-31,124100.17
3,2006-02-28,123959.20
3,2006-03-31,126709.17
3,2006-04-30,129380.30
3,2006-05-31,124093.58
3,2006-06-30,127438.47
3,2006-07-31,129139.05
3,2006-08-31,127553.37
3,2006-09-30,127888.88
3,2006-10-31,132076.77
3,2006-11-30,139529.72
3,2006-12-31,135632.15
3,2007-01-31,137409.14
3,2007-02-28,134188.63
3,2007-03-31,137531.23
3,2007-04-30,140223.81
3,2007-05-31,148123.24
3,2007-06-30,143731.05
3,2007-07-31,145091.71
3,2007-08-31,148687.99
3,2007-09-30,163900.87
3,2007-10-31,180685.39
3,2007-11-30,174319.76
3,2007-12-31,189002.70
3,2008-01-31,163242.28
3,2008-02-29,176264.64
3,2008-03-31,178114.32
3,2008-04-30,204074.86
3,2008-05-31,215187.13
3,2008-06-30,215779.98
3,2008-07-31,195605.54
3,2008-08-31,192255.50
3,2008-09-30,149625.07
3,2008-10-31,111260.03
3,2008-11-30,102356.11
3,2008-12-31,108655.19
3,2009-01-31,102840.32
3,2009-02-28,100454.12
3,2009-03-31,106839.37
3,2009-04-30,115665.45
3,2009-05-31,132622.43
3,2009-06-30,127158.51
3,2009-07-31,140464.93
3,2009-08-31,142204.37
3,2009-09-30,151048.33
3,2009-10-31,151633.32
3,2009-11-30,163968.17
3,2009-12-31,169485.58
3,2010-01-31,158597.94
3,2010-02-28,167422.45
3,2010-03-31,179672.09
3,2010-04-30,183258.44
3,2010-05-31,171462.70
3,2010-06-30,162619.62
3,2010-07-31,175209.00
3,2010-08-31,176409.56
3,2010-09-30,189578.56
3,2010-10-31,205230.06
3,2010-11-30,210426.86
3,2010-12-31,223717.05
3,2011-01-31,226504.06
3,2011-02-28,234051.71
3,2011-03-31,230157.83
3,2011-04-30,234696.21
3,2011-05-31,229168.11
3,2011-06-30,223239.32
3,2011-07-31,230250.07
3,2011-08-31,224361.96
3,2011-09-30,200183.21
3,2011-10-31,224951.34
3,2011-11-30,219522.67
3,2011-12-31,222046.32
3,2012-01-31,240574.16
3,2012-02-29,255414.92
3,2012-03-31,258278.65
3,2012-04-30,249092.63
3,2012-05-31,233200.25
3,2012-06-30,238448.89
3,2012-07-31,242352.90
3,2012-08-31,250216.59
3,2012-09-30,253289.13
3,2012-10-31,238959.41
3,2012-11-30,242486.93
3,2012-12-31,244484.27
3,2013-01-31,246509.64
3,2013-02-28,243608.36
3,2013-03-31,250073.96
3,2013-04-30,258252.87
3,2013-05-31,263302.64
3,2013-06-30,251776.24
3,2013-07-31,264094.39
3,2013-08-31,262318.39
3,2013-09-30,270035.20
3,2013-10-31,283213.23
3,2013-11-30,287185.65
3,2013-12-31,282701.81
3,2014-01-31,261989.78
3,2014-02-28,271716.11
3,2014-03-31,274344.74
3,2014-04-30,280758.46
3,2014-05-31,291868.79
3,2014-06-30,298962.88
3,2014-07-31,295773.69
3,2014-08-31,303504.36
3,2014-09-30,291676.96
3,2014-10-31,296644.25
3,2014-11-30,311344.85
3,2014-12-31,302008.10
