dataset,period,rebalance_date,turnover
1,1,2007-01-31,0.00000000
1,2,2007-07-31,0.17298839
1,3,2008-01-31,0.18116511
1,4,2008-07-31,0.09732988
1,5,2009-01-31,0.24205836
1,6,2009-07-31,0.17707449
1,7,2010-01-31,0.30096402
1,8,2010-07-31,0.42173687
1,9,2011-01-31,0.28855510
1,10,2011-07-31,0.16925494
1,11,2012-01-31,0.17329900
1,12,2012-07-31,0.24270420
1,13,2013-01-31,0.13539088
1,14,2013-07-31,0.45258308
1,15,2014-01-31,0.30999057
1,16,2014-07-31,0.27882069
1,17,2015-01-31,0.42111209
1,18,2015-07-31,0.29205536
1,19,2016-01-31,0.25421553
1,20,2016-07-31,0.20097260
2,1,1997-01-31,0.00000000
2,2,1997-07-31,0.16457074
2,3,1998-01-31,0.12557801
2,4,1998-07-31,0.37101305
2,5,1999-01-31,0.18683289
2,6,1999-07-31,0.23475081
2,7,2000-01-31,0.26198137
2,8,2000-07-31,0.25126677
2,9,2001-01-31,0.19803273
2,10,2001-07-31,0.17352447
2,11,2002-01-31,0.31340967
2,12,2002-07-31,0.39627751
2,13,2003-01-31,0.32566949
2,14,2003-07-31,0.32767082
2,15,2004-01-31,0.32235975
2,16,2004-07-31,0.29333547
2,17,2005-01-31,0.34409702
2,18,2005-07-31,0.29500037
2,19,2006-01-31,0.24713619
2,20,2006-07-31,0.17234062
3,1,2005-01-31,0.00000000
3,2,2005-07-31,0.16723359
3,3,2006-01-31,0.32019665
3,4,2006-07-31,0.37768487
3,5,2007-01-31,0.29037111
3,6,2007-07-31,0.35905055
3,7,2008-01-31,0.27458827
3,8,2008-07-31,0.15464391
3,9,2009-01-31,0.33269673
3,10,2009-07-31,0.26937511
3,11,2010-01-31,0.17568946
3,12,2010-07-31,0.23892864
3,13,2011-01-31,0.14918389
3,14,2011-07-31,0.25227858
3,15,2012-01-31,0.18468883
3,16,2012-07-31,0.34321059
3,17,2013-01-31,0.36803234
3,18,2013-07-31,0.38520866
3,19,2014-01-31,0.28547000
3,20,2014-07-31,0.39469010
